user,Inception,The Shawshank Redemption,The Matrix,Interstellar,Pulp Fiction,Avatar,Jurassic Park,Forrest Gump,The Godfather,The Dark Knight,Star Wars,Titanic,Gladiator,The Lion King,Fight Club,Casablanca,The Lord of the Rings,The Avengers,Eternal Sunshine of the Spotless Mind,The Social Network,Black Panther,La La Land,The Grand Budapest Hotel,Blade Runner 2049,The Incredibles,Toy Story,Gone with the Wind,The Silence of the Lambs,Shutter Island,The Revenant,The Breakfast Club,The Princess Bride,The Godfather Part II,The Big Lebowski,The Good Dinosaur
user2757,4,1,1,3,3,5,1,5,5,2,4,3,2,4,5,5,5,2,5,3,5,5,1,2,1,1,3,3,2,2,1,1,5,3,2
user2758,4,4,5,3,2,2,3,3,1,2,2,3,4,5,3,2,4,2,3,2,1,2,1,2,4,2,2,4,5,4,2,1,4,3,5
user2759,5,1,5,4,2,2,3,1,2,5,3,5,1,2,2,5,4,1,4,2,5,1,2,2,1,3,2,4,1,4,5,4,1,4,2
user2760,1,3,3,4,1,4,3,2,4,3,3,3,3,4,2,2,2,1,4,1,3,3,4,5,2,3,2,4,5,3,3,3,1,3,2
user2761,4,4,3,1,4,2,2,3,5,1,3,1,3,3,1,1,3,4,5,1,1,4,4,1,4,5,3,2,5,3,1,3,4,1,1
user2762,4,3,5,4,1,3,4,2,4,5,1,5,4,3,2,1,4,3,5,3,4,1,1,2,3,5,3,2,5,1,5,5,2,3,4
user2763,1,2,5,5,1,1,5,1,1,3,5,5,2,5,1,2,2,3,4,1,1,1,2,4,3,4,5,5,5,3,2,3,5,5,2
user2764,3,2,1,4,3,1,4,1,4,2,1,4,3,3,5,3,4,5,5,4,1,4,5,3,2,1,4,1,1,1,4,5,1,3,1
user2765,4,3,1,2,1,3,1,2,5,2,1,4,4,2,3,5,1,3,3,1,4,5,4,1,2,1,4,4,5,1,2,1,5,2,4
user2766,2,3,5,1,5,1,3,3,3,5,2,5,5,3,4,3,1,2,3,3,4,2,3,4,2,2,2,4,2,2,5,2,4,1,1
user2767,5,2,4,2,2,3,2,4,5,4,4,2,5,2,2,5,2,2,4,3,2,1,5,1,2,5,1,1,2,2,2,5,2,3,3
user2768,1,5,5,2,3,3,4,1,2,3,5,5,3,3,1,2,2,3,4,5,4,2,5,1,5,5,3,3,3,3,4,2,3,1,1
user2769,1,3,4,3,4,5,3,5,4,4,3,2,3,1,1,1,2,1,3,3,5,5,4,3,3,3,3,5,4,2,4,3,2,3,5
user2770,1,3,5,4,1,4,1,2,1,5,1,1,1,2,1,2,2,1,4,3,1,3,5,4,3,2,5,5,1,5,2,5,4,4,5
user2771,4,2,3,5,5,1,1,1,1,1,1,5,5,2,1,4,2,5,1,2,3,3,2,5,2,1,5,5,1,2,1,2,5,2,4
user2772,2,2,3,3,5,4,3,4,1,1,5,3,2,2,5,1,1,2,3,5,2,2,1,2,5,1,5,5,4,3,2,5,3,2,3
user2773,1,2,1,4,3,5,3,5,2,3,5,4,1,3,1,3,5,5,1,5,1,3,5,3,2,5,3,3,2,1,5,1,4,1,2
user2774,3,5,5,2,4,5,1,5,3,4,3,5,1,1,1,3,1,3,2,3,4,3,1,3,1,5,4,3,4,4,3,3,1,3,1
user2775,4,2,2,4,3,2,5,5,3,1,2,2,4,1,4,3,2,5,2,3,3,2,1,4,5,3,2,2,1,1,2,1,4,1,1
user2776,2,5,4,1,3,2,3,4,2,4,5,4,1,3,2,3,1,4,2,5,3,5,2,4,5,5,3,2,3,3,4,5,1,1,4
user2777,4,5,5,4,2,2,3,3,2,1,3,1,3,2,3,1,3,4,3,4,2,1,2,3,1,3,2,2,1,4,5,5,1,2,1
user2778,1,2,1,1,4,3,3,3,2,4,4,5,3,4,2,4,2,1,1,3,2,2,4,4,3,3,3,1,4,1,2,3,4,5,4
user2779,3,3,2,2,2,1,1,4,3,4,2,4,4,4,3,4,2,1,5,4,5,4,3,4,1,5,4,2,3,1,3,4,5,4,3
user2780,5,1,3,3,5,2,3,2,1,3,3,4,1,2,2,3,4,1,5,2,4,4,2,5,2,1,5,1,3,2,1,4,2,2,2
user2781,2,5,4,5,2,1,2,2,5,3,1,1,5,1,3,2,5,3,5,4,1,4,5,5,2,2,2,4,5,4,1,3,5,4,5
user2782,1,5,4,5,3,3,1,3,2,2,2,1,2,3,3,1,3,5,2,3,2,1,3,1,4,1,2,5,5,5,1,2,1,5,1
user2783,2,1,2,2,4,2,3,5,4,2,5,3,2,4,2,5,5,3,1,3,4,2,5,2,4,3,3,1,2,5,1,2,4,2,4
user2784,3,1,3,4,2,1,5,1,3,1,5,4,5,4,1,3,5,3,3,3,5,4,1,5,4,5,3,4,3,4,1,2,1,2,2
user2785,2,1,4,1,1,5,3,5,5,4,2,1,5,2,4,4,4,5,3,1,1,1,4,3,5,1,4,4,4,3,4,5,1,5,1
user2786,5,5,3,1,1,1,2,2,5,5,3,5,1,1,4,1,5,1,3,5,1,2,3,3,3,2,2,1,3,4,5,5,2,1,2
user2787,1,4,4,1,4,5,3,5,4,3,2,1,5,2,1,2,4,1,1,4,4,4,2,1,2,2,2,2,3,3,4,1,2,4,2
user2788,2,4,4,2,2,3,2,5,2,4,2,1,3,4,5,4,5,2,3,1,1,4,2,3,2,2,3,4,1,2,5,5,2,1,5
user2789,2,3,5,5,3,3,1,3,1,3,5,2,1,3,3,3,1,5,5,4,5,5,5,5,4,3,5,1,1,3,2,3,3,4,2
user2790,2,4,1,5,1,2,5,4,1,5,4,2,1,2,4,3,4,1,5,5,2,4,3,1,5,1,5,5,3,2,1,4,3,1,5
user2791,1,2,2,5,5,2,2,2,5,3,4,5,3,5,3,2,3,3,2,3,5,2,2,2,2,5,5,4,4,2,5,1,1,1,2
user2792,4,5,2,4,2,1,2,5,5,3,5,3,4,2,4,3,1,1,4,5,2,2,3,1,1,5,3,3,2,5,4,3,2,5,1
user2793,2,3,2,3,5,2,5,3,4,3,2,4,4,1,5,1,1,5,3,4,2,3,5,4,5,3,3,3,4,3,5,4,5,2,1
user2794,4,2,2,4,5,5,3,3,2,3,3,5,4,1,5,3,2,1,1,2,3,1,4,1,5,3,3,4,4,4,5,3,5,4,2
user2795,2,3,2,1,2,1,2,4,4,3,3,3,5,1,3,3,5,4,5,5,5,5,1,4,2,4,5,3,2,4,5,4,2,2,4
user2796,4,2,1,1,4,4,4,2,4,4,3,5,1,4,1,1,2,2,4,1,3,2,3,5,3,1,3,1,1,2,3,2,5,2,2
user2797,3,2,2,3,4,5,2,2,3,1,5,3,2,4,1,3,3,2,1,3,1,5,2,1,1,5,3,1,4,1,4,4,2,5,3
user2798,2,4,2,5,2,4,3,5,3,4,4,1,4,1,4,5,3,4,2,4,2,1,4,2,3,1,3,4,1,1,5,2,5,2,2
user2799,3,4,5,1,1,5,1,4,2,2,2,5,3,4,1,3,2,2,5,4,3,3,4,1,4,3,4,2,1,1,4,2,3,4,2
user2800,4,1,2,3,1,1,5,4,4,2,4,2,2,2,5,2,4,5,1,5,5,2,4,3,5,4,5,4,1,2,3,2,4,4,1
user2801,3,3,1,2,4,3,4,1,2,5,5,5,2,4,1,4,2,1,1,2,5,2,2,5,4,4,3,3,3,1,5,2,5,3,5
user2802,5,2,3,5,2,4,1,2,4,1,1,1,5,2,5,2,3,5,5,3,3,2,4,1,5,4,4,1,5,4,1,5,3,1,3
user2803,1,1,2,2,5,2,1,2,4,4,3,4,2,1,5,3,2,2,4,3,5,3,2,5,5,4,1,1,4,3,1,1,3,3,1
user2804,1,3,5,4,5,2,4,3,4,1,2,5,2,4,4,2,1,5,3,3,3,2,5,4,2,3,3,1,2,4,5,3,2,3,4
user2805,4,1,3,1,1,1,4,3,1,5,5,5,1,4,4,2,2,5,5,3,3,4,3,3,1,2,3,2,1,5,3,4,1,5,4
user2806,2,3,3,5,4,3,3,2,3,3,2,5,1,3,4,3,3,4,4,5,4,2,3,4,2,2,5,1,1,4,2,2,2,4,5
user2807,4,1,1,1,4,4,2,4,2,4,1,1,1,4,5,1,4,2,1,2,3,4,1,4,5,3,4,5,5,4,3,3,3,2,1
user2808,1,5,2,5,1,2,2,1,3,2,4,3,2,4,1,3,5,4,2,2,4,3,1,1,5,2,3,1,4,2,1,5,2,2,1
user2809,3,1,3,4,2,3,1,2,1,5,5,4,1,1,1,4,4,5,5,3,3,4,1,1,2,3,1,2,1,1,3,3,2,5,5
user2810,4,4,1,3,4,1,1,1,4,4,4,5,2,4,1,2,4,5,4,3,2,1,1,1,1,2,3,3,4,2,5,3,4,2,1
user2811,1,1,2,5,5,5,4,5,2,5,3,2,2,1,4,4,3,1,5,2,4,1,5,4,2,1,1,4,3,4,2,1,1,3,4
user2812,2,5,3,3,1,3,3,3,2,2,4,1,3,3,2,2,5,1,2,4,1,5,2,4,2,5,4,2,3,1,5,4,3,5,3
user2813,4,5,1,3,5,4,3,3,3,1,3,4,5,4,4,2,5,4,2,2,5,4,5,2,2,2,3,4,3,5,5,3,1,4,3
user2814,2,5,3,2,1,3,5,4,2,4,4,3,4,3,5,4,5,1,1,3,3,5,3,5,2,5,3,3,1,2,5,5,5,4,2
user2815,3,4,4,2,4,1,4,5,3,3,4,5,4,4,5,5,5,5,4,1,2,1,1,3,2,4,3,3,1,3,1,2,5,5,5
user2816,3,1,2,4,1,4,1,4,5,5,3,1,2,5,2,5,3,5,2,1,5,4,1,5,4,4,1,1,2,1,5,3,3,5,4
user2817,2,4,3,3,1,1,1,5,5,4,5,5,3,2,4,1,3,1,4,2,2,3,1,2,1,3,4,1,4,2,3,3,5,3,3
user2818,2,2,1,3,3,2,1,5,3,5,2,4,4,1,1,5,1,3,3,4,4,1,3,5,3,1,5,3,3,3,5,5,3,5,3
user2819,3,2,4,1,1,2,1,1,2,3,3,1,4,1,2,2,3,5,4,5,3,1,1,1,4,1,4,4,4,4,4,3,1,3,4
user2820,2,4,1,1,2,5,1,5,1,4,2,4,5,4,5,5,1,2,2,3,4,2,5,5,1,2,1,1,3,5,5,2,4,2,2
user2821,1,2,3,3,5,1,4,3,2,3,2,3,5,5,1,4,5,2,5,3,1,2,5,5,2,4,1,4,3,1,1,4,3,1,2
user2822,3,5,1,4,1,2,3,4,2,5,2,5,5,4,3,2,5,5,5,4,4,2,3,4,2,4,3,3,4,5,5,1,2,2,5
user2823,1,1,2,2,3,1,1,3,4,4,1,1,5,5,1,2,3,2,2,3,4,4,1,4,4,4,4,4,4,2,2,5,2,4,1
user2824,1,5,3,5,5,5,4,4,5,2,2,1,4,4,3,3,1,3,4,3,3,3,3,4,2,5,1,1,4,4,2,5,4,1,2
user2825,3,2,5,4,3,1,4,4,5,3,5,2,4,3,2,5,1,1,4,1,1,2,4,1,4,5,1,4,2,1,3,1,1,3,3
user2826,4,3,4,3,5,3,5,5,1,4,2,4,5,2,2,5,4,5,5,5,4,4,4,1,3,3,5,4,4,3,3,5,4,4,1
user2827,5,4,5,1,3,4,4,5,5,1,3,1,3,1,1,4,4,1,3,5,4,3,1,1,1,1,1,5,1,1,1,1,1,4,2
user2828,2,5,2,3,2,5,3,4,2,5,4,3,2,5,1,3,4,5,2,5,1,2,4,3,5,5,2,5,3,2,3,5,4,3,2
user2829,1,2,3,5,4,2,5,1,3,2,4,3,5,2,3,1,5,1,1,2,5,3,1,1,3,1,5,3,3,5,1,2,4,1,4
user2830,1,4,5,1,5,3,4,2,3,2,4,4,3,2,5,3,3,3,2,2,1,3,1,1,4,1,3,1,4,2,5,2,4,5,4
user2831,2,1,2,1,1,3,2,1,5,3,1,5,4,3,5,4,3,5,3,2,4,4,5,1,3,1,1,3,4,1,4,2,5,1,3
user2832,2,4,1,2,4,1,1,2,1,3,2,5,5,3,2,5,1,5,1,1,3,3,1,5,5,4,3,2,1,4,5,5,4,3,5
user2833,5,3,5,1,3,2,5,4,5,5,5,4,5,5,5,1,5,2,4,5,4,1,4,5,3,5,2,2,2,5,4,4,3,4,4
user2834,3,2,2,4,4,3,3,3,4,1,5,5,4,1,1,3,3,5,3,4,1,4,3,4,3,5,1,1,5,5,5,5,2,3,4
user2835,5,3,1,1,2,2,2,2,5,3,4,3,3,4,5,2,1,5,1,2,2,5,1,5,2,2,5,5,1,5,5,3,4,1,3
user2836,5,4,1,3,2,3,1,2,1,2,5,3,1,4,1,5,2,3,4,1,4,4,4,5,3,3,3,2,5,5,3,5,3,3,2
user2837,1,3,2,5,2,1,3,4,4,2,2,4,2,5,2,5,1,1,5,1,5,4,2,4,1,1,2,3,4,4,5,3,5,4,4
user2838,5,5,1,3,5,4,1,4,5,3,3,1,5,5,4,3,5,3,5,1,5,5,3,1,3,1,2,5,5,1,1,3,4,5,3
user2839,3,4,3,4,1,5,2,1,4,4,4,2,3,3,2,4,1,3,3,3,2,2,1,4,1,1,1,1,5,2,5,4,2,3,3
user2840,1,1,1,1,2,1,2,5,4,5,3,1,2,5,4,4,4,1,5,2,1,5,5,4,2,3,4,1,1,2,2,1,1,3,3
user2841,4,3,3,4,2,5,4,3,4,1,1,4,5,5,5,4,4,4,2,3,2,2,4,1,5,5,1,5,4,2,5,4,1,3,4
user2842,1,5,1,1,1,5,2,1,4,3,4,4,3,1,2,4,1,5,5,2,1,2,2,3,4,3,4,1,4,1,5,5,3,2,1
user2843,4,4,4,4,3,3,5,2,1,3,4,3,3,1,1,5,4,5,3,3,3,4,1,5,2,2,1,5,3,5,4,4,2,4,5
user2844,1,5,3,2,4,4,3,2,5,4,1,3,3,1,2,1,3,3,1,4,5,1,2,5,3,2,3,2,2,2,3,4,4,4,5
user2845,2,1,5,4,4,4,1,5,4,4,1,5,4,3,1,1,2,1,5,2,2,1,5,5,2,4,4,2,5,5,2,1,3,1,2
user2846,3,2,1,3,4,2,5,3,5,3,4,1,4,1,3,4,1,5,2,2,2,5,3,1,5,4,1,5,3,3,2,1,1,5,1
user2847,4,1,2,2,2,5,4,1,3,1,2,5,3,5,5,5,1,2,4,1,4,4,4,5,3,4,4,3,5,1,5,1,3,4,2
user2848,2,2,4,3,3,3,3,4,3,3,1,1,2,5,4,2,4,3,1,5,4,2,2,1,3,4,2,4,3,2,2,1,1,5,5
user2849,5,5,5,1,1,3,3,2,3,1,3,4,1,3,4,4,1,4,2,4,3,2,3,1,2,5,4,4,2,3,3,5,4,1,5
user2850,4,5,4,4,5,1,2,2,3,1,3,5,2,3,2,1,4,4,3,2,5,5,3,2,3,2,1,4,4,5,4,2,3,4,4
user2851,1,4,3,4,1,2,1,4,2,2,2,4,3,4,5,2,2,3,3,4,1,4,2,2,3,1,3,2,1,2,2,1,4,1,3
user2852,1,3,1,3,2,1,1,5,1,1,1,2,4,1,2,4,2,4,3,2,5,4,4,2,1,4,3,1,5,4,2,3,4,4,4
user2853,3,2,5,2,4,2,2,4,1,3,2,3,1,4,5,4,4,2,5,1,2,2,3,4,3,1,3,1,4,1,4,3,4,2,3
user2854,5,5,3,1,3,3,3,4,4,5,5,2,5,5,4,2,2,1,3,5,4,5,3,4,5,2,3,1,2,2,4,1,4,1,4
user2855,5,4,2,3,2,3,1,1,1,1,4,3,2,2,5,1,1,5,3,1,3,1,1,4,5,1,4,4,1,1,4,3,2,2,3
user2856,2,3,3,2,1,4,5,3,1,1,3,5,2,2,3,1,2,5,1,2,4,4,3,3,1,3,5,2,4,1,4,2,2,1,3
user2857,2,2,2,3,5,2,5,4,5,1,2,4,1,4,4,3,1,1,1,2,2,5,3,1,1,4,2,3,1,3,2,1,3,3,1
user2858,2,2,4,5,3,2,5,4,2,3,2,3,3,2,4,1,2,5,4,3,1,5,1,3,2,1,1,5,4,2,2,3,5,1,4
user2859,5,4,5,2,2,4,3,3,4,5,2,1,4,2,3,5,2,2,2,2,1,5,2,2,4,1,4,1,2,5,2,4,3,4,4
user2860,1,1,3,1,5,5,2,3,1,1,3,5,1,2,5,3,3,2,4,2,5,3,4,2,4,3,2,3,5,4,3,5,2,4,3
user2861,1,5,2,4,2,5,5,2,3,1,3,1,2,3,4,1,2,2,2,3,2,3,1,1,4,2,3,2,5,3,4,4,5,5,2
user2862,3,1,5,1,2,1,3,4,1,4,3,2,3,2,5,2,1,1,1,3,2,5,5,1,4,5,2,3,5,3,3,3,1,4,5
user2863,5,5,4,3,2,4,4,1,1,2,5,3,2,3,3,1,1,5,3,5,5,3,2,1,3,3,2,2,2,5,4,1,3,3,2
user2864,4,3,5,4,4,5,4,3,1,2,1,3,3,2,4,3,2,5,5,1,2,3,2,3,2,5,2,5,4,1,4,2,4,4,5
user2865,1,1,1,3,1,5,1,3,3,1,4,5,1,2,5,4,2,5,2,4,1,1,2,4,4,2,2,4,5,4,5,1,4,1,3
user2866,3,1,2,5,2,3,2,4,5,5,1,2,1,2,2,3,5,2,2,4,1,1,2,4,3,5,4,5,1,2,3,4,4,5,1
user2867,3,2,3,1,2,4,3,2,4,3,3,3,1,3,2,1,2,2,4,4,5,1,4,4,4,3,3,3,1,4,5,1,5,4,3
user2868,3,2,5,3,5,4,3,3,1,2,4,2,4,3,5,1,4,5,4,2,3,4,2,1,3,4,3,5,4,3,1,3,5,4,4
user2869,4,5,2,1,3,2,5,2,4,4,4,5,4,5,1,1,1,5,3,2,2,1,1,3,3,1,3,3,4,3,3,3,1,5,4
user2870,3,3,2,5,2,2,3,4,4,4,2,1,4,4,1,2,1,5,2,5,4,3,3,1,1,2,2,3,1,3,3,5,2,3,4
user2871,1,3,2,1,3,2,5,2,3,5,4,5,2,4,3,3,1,2,3,5,2,5,2,5,2,2,5,1,2,4,1,1,4,4,2
user2872,5,3,3,1,1,3,3,1,3,4,3,2,1,5,5,5,2,3,2,4,3,1,2,4,5,3,1,2,3,3,2,5,2,5,1
user2873,5,1,2,1,3,5,4,2,2,1,2,1,3,2,1,3,4,4,3,5,3,4,1,5,5,4,3,3,2,5,1,1,4,4,2
user2874,5,1,3,1,2,2,1,3,3,3,2,4,2,4,3,1,2,5,4,1,5,2,5,5,4,2,4,4,1,3,2,1,4,2,1
user2875,2,4,1,5,2,5,2,4,4,2,1,5,1,5,2,3,5,1,1,2,3,3,4,5,4,4,5,1,1,3,4,3,3,4,4
user2876,1,5,1,2,2,2,5,4,5,3,1,1,5,4,2,2,3,5,3,4,1,4,2,5,3,2,5,2,5,3,5,1,5,1,3
user2877,1,2,1,1,1,1,4,2,4,3,3,5,4,5,4,4,3,5,3,3,3,3,2,3,1,1,4,4,4,2,4,2,5,5,5
user2878,5,5,4,2,4,4,1,1,1,4,3,3,2,4,2,1,1,1,3,2,3,5,5,3,5,4,4,5,3,5,4,2,5,5,3
user2879,1,2,3,5,4,4,4,4,5,1,2,2,1,3,3,3,3,2,2,2,5,4,3,2,4,1,3,1,4,2,1,5,1,1,2
user2880,4,3,1,5,3,2,4,5,3,2,1,2,3,2,3,3,1,3,5,2,3,3,3,4,3,3,3,3,2,4,3,4,4,1,2
user2881,5,5,2,2,1,4,3,1,3,1,5,4,1,3,3,1,2,5,4,4,2,4,1,5,1,3,2,4,5,4,3,1,1,4,1
user2882,5,3,3,5,1,4,1,5,4,4,1,5,4,5,2,2,1,3,2,2,4,4,1,4,4,2,5,2,5,2,3,5,2,5,3
user2883,2,1,5,3,3,4,5,2,1,4,3,2,4,4,2,2,3,4,3,1,4,4,3,3,2,4,3,2,3,5,4,3,2,1,3
user2884,5,3,2,1,4,4,5,2,2,3,5,2,4,4,5,2,3,1,2,5,2,1,1,2,1,1,5,1,1,3,1,5,2,5,3
user2885,3,1,2,1,2,5,1,5,5,2,2,4,4,3,3,1,5,1,4,5,5,1,4,3,4,5,1,1,3,5,5,3,4,3,5
user2886,4,2,4,1,2,2,2,2,2,3,2,4,1,1,3,3,5,5,3,3,1,4,2,1,3,1,4,4,3,2,4,2,4,2,4
user2887,3,5,3,2,4,1,1,1,4,1,3,4,3,1,1,2,3,1,3,5,3,4,5,4,2,5,1,2,4,1,2,4,1,4,4
user2888,3,5,3,1,4,5,3,4,4,1,4,3,1,3,4,4,5,4,1,3,1,5,5,5,1,1,3,2,1,5,1,5,4,2,5
user2889,1,2,5,4,4,1,1,3,4,5,1,4,4,1,1,3,1,4,3,3,3,4,2,3,5,2,2,4,1,4,3,1,3,1,1
user2890,2,2,5,1,1,4,1,1,1,1,2,1,2,3,5,4,4,1,1,4,2,1,3,3,3,3,2,3,2,2,2,1,1,3,4
user2891,5,2,4,3,4,3,4,3,4,3,1,4,4,2,5,2,1,5,3,5,4,1,2,4,4,2,5,5,2,1,4,4,5,5,3
user2892,4,2,2,4,3,4,5,1,1,5,5,5,4,3,3,4,3,4,3,4,1,1,2,2,3,5,3,1,2,4,5,1,5,3,4
user2893,1,2,5,2,3,2,4,5,5,3,3,1,1,2,1,2,3,4,4,4,3,3,3,5,2,1,3,3,3,1,2,2,4,3,5
user2894,4,3,5,3,5,4,4,5,4,1,4,2,1,5,1,4,4,5,4,3,4,4,2,3,2,3,4,2,1,4,2,1,1,5,1
user2895,5,2,2,4,2,2,3,1,4,3,4,4,2,1,5,1,4,4,5,5,4,2,5,4,1,3,4,5,5,4,3,5,3,5,2
user2896,3,2,5,4,4,5,4,4,2,2,5,4,5,2,5,2,5,1,5,5,5,4,3,2,2,3,2,1,3,3,3,5,4,2,4
user2897,4,5,4,1,5,4,3,2,1,3,1,5,5,2,4,5,1,5,3,4,1,1,5,2,5,2,2,2,4,5,2,1,5,3,5
user2898,5,4,1,1,2,4,1,2,5,1,2,2,3,3,2,4,4,4,2,5,3,4,2,4,3,3,5,5,1,3,1,4,1,2,4
user2899,1,3,5,5,4,4,4,3,4,4,1,5,5,3,2,4,2,2,2,2,1,5,1,1,1,4,2,2,3,5,4,3,4,1,5
user2900,5,1,2,5,1,5,3,5,2,3,5,4,4,5,4,2,2,1,4,5,3,3,3,3,1,4,5,4,3,2,4,1,1,3,5
user2901,1,5,5,4,3,3,2,5,1,4,5,3,2,4,1,3,2,4,1,5,3,1,2,3,3,4,5,4,5,1,5,4,5,3,1
user2902,2,3,1,1,3,3,4,1,4,1,1,5,4,3,3,3,1,5,3,3,4,1,4,1,5,5,1,4,5,4,1,4,5,4,2
user2903,2,4,3,5,3,1,2,3,4,1,5,5,5,5,5,5,5,1,3,1,2,2,4,1,5,5,3,4,4,3,2,4,1,3,4
user2904,5,3,4,5,1,2,5,3,5,1,5,3,5,4,3,4,3,2,2,1,3,1,2,1,1,1,5,1,3,3,3,3,4,4,2
user2905,3,3,3,5,4,5,1,5,3,3,1,2,2,2,2,4,2,5,4,5,3,2,4,4,1,3,2,2,2,5,2,2,2,4,4
user2906,1,2,4,2,3,1,4,4,5,1,2,4,2,5,5,3,2,3,3,2,2,3,5,1,4,3,2,4,5,3,4,5,4,1,1
user2907,5,4,1,5,5,1,3,5,5,1,1,2,2,3,3,5,1,2,5,2,3,5,1,4,4,4,2,3,4,5,5,3,5,1,1
user2908,5,4,1,5,2,3,2,2,3,3,2,4,5,1,2,4,5,4,4,2,5,4,4,4,2,1,1,5,5,4,3,3,2,3,4
user2909,3,2,5,2,4,5,4,5,4,5,1,2,3,4,5,1,5,1,3,2,4,3,3,5,3,1,2,3,4,1,1,2,3,3,4
user2910,4,1,2,3,5,1,5,3,3,2,3,4,2,1,3,3,2,2,1,4,1,5,5,4,4,3,3,1,2,1,3,4,3,2,4
user2911,4,3,5,5,3,5,2,5,2,5,4,4,2,3,1,3,3,1,1,5,5,1,4,4,4,3,1,3,5,1,2,1,1,4,4
user2912,3,4,3,4,5,3,5,5,3,3,4,2,5,2,5,5,1,3,3,4,4,3,4,1,5,1,4,3,1,1,3,2,2,2,5
user2913,1,1,2,5,4,2,3,4,2,2,3,2,2,1,1,4,5,1,2,1,4,4,1,4,4,2,2,1,4,4,2,5,1,5,4
user2914,1,2,1,5,5,1,1,1,4,5,1,1,3,3,4,1,2,2,4,5,3,2,3,3,5,1,5,4,3,1,1,1,2,5,4
user2915,3,1,5,3,1,2,1,2,5,1,1,4,3,3,3,4,4,2,5,3,1,4,5,5,2,5,3,4,4,4,4,5,3,1,2
user2916,4,1,3,1,3,4,1,2,3,1,4,2,2,1,1,5,3,1,2,1,3,5,5,3,3,1,3,2,2,3,5,1,1,4,2
user2917,3,1,2,3,5,5,3,5,3,4,4,5,1,5,4,2,1,4,4,1,2,1,3,5,3,1,4,5,1,4,1,5,3,1,3
user2918,5,2,2,3,4,4,2,2,3,1,2,3,2,3,4,5,2,5,4,1,4,2,2,2,3,4,2,3,1,4,3,2,1,4,2
user2919,3,5,1,2,5,5,5,2,1,5,5,1,2,5,5,1,3,3,3,3,1,3,5,1,4,3,2,3,4,1,5,1,5,4,5
user2920,4,2,3,3,2,3,4,3,1,1,5,2,2,4,5,3,3,1,2,2,3,1,5,2,1,5,1,3,4,4,4,1,2,5,2
user2921,1,4,2,4,2,5,1,1,4,4,3,1,5,5,5,1,1,2,1,3,5,1,2,2,2,5,4,4,5,5,3,1,2,1,2
user2922,2,3,3,1,2,2,5,5,4,2,3,3,1,1,2,2,4,3,4,4,3,2,3,3,1,2,5,4,1,1,2,1,5,3,3
user2923,5,4,2,3,1,2,3,2,3,1,5,1,1,5,3,5,3,1,4,4,4,1,5,5,4,5,2,5,3,2,1,1,2,4,1
user2924,3,5,2,4,4,1,3,5,2,4,2,5,2,4,3,3,4,4,1,4,2,1,5,2,4,4,5,2,2,1,2,1,1,2,3
user2925,4,3,1,2,4,4,1,3,4,2,3,5,2,1,2,1,3,2,5,1,4,5,4,3,5,1,3,4,3,3,4,3,4,4,3
user2926,1,1,3,4,3,3,4,2,4,2,1,5,2,4,2,2,3,5,4,1,3,5,2,3,2,2,1,4,4,2,2,4,5,5,1
user2927,3,2,5,5,4,2,3,5,4,1,5,1,4,3,5,3,3,3,4,3,4,4,3,2,2,4,1,2,5,1,4,5,1,5,4
user2928,4,5,2,1,5,2,5,3,3,3,5,2,3,5,5,2,5,1,3,5,4,4,5,4,5,4,1,4,1,5,1,2,1,2,3
user2929,2,5,4,5,2,3,5,3,2,3,1,1,5,5,3,3,4,5,1,3,5,5,3,3,2,1,2,4,3,5,3,3,2,4,3
user2930,4,1,1,3,2,1,1,3,5,4,5,5,1,1,3,5,2,3,4,3,1,4,1,5,1,1,2,1,4,3,5,4,3,1,1
user2931,5,2,4,1,3,2,2,3,3,3,4,3,2,2,4,5,4,2,3,3,1,1,1,3,2,1,4,3,5,1,1,1,1,4,3
user2932,2,2,4,3,4,1,5,4,3,1,5,1,2,4,4,5,1,3,1,2,1,4,5,3,3,3,1,4,3,4,3,5,3,5,3
user2933,5,4,5,1,1,4,1,1,2,2,1,2,1,1,5,4,4,4,5,5,4,2,4,5,5,5,5,5,1,3,2,4,2,1,5
user2934,4,2,1,2,4,5,5,2,5,1,1,4,2,5,2,2,1,3,2,5,4,3,5,3,1,4,1,5,1,2,4,3,2,1,4
user2935,2,5,5,1,5,2,3,2,2,3,3,3,1,1,2,3,1,5,4,4,1,5,4,3,5,5,4,4,3,3,1,1,1,4,4
user2936,3,5,4,5,5,4,4,5,5,5,5,5,2,4,5,3,4,5,4,1,1,4,2,1,5,4,2,1,1,3,2,3,5,2,3
user2937,4,2,2,4,1,1,1,5,1,4,3,5,1,5,2,4,3,2,2,3,3,2,3,4,1,2,4,1,2,3,5,4,3,5,4
user2938,1,5,5,4,1,5,4,3,5,4,4,4,5,3,1,1,5,3,2,3,5,3,3,4,4,4,5,3,2,3,2,2,3,4,3
user2939,5,3,2,1,3,4,2,1,5,3,1,2,3,5,1,4,5,5,4,4,3,5,3,2,3,5,2,5,2,2,3,5,1,5,5
user2940,2,3,3,3,2,5,1,5,3,2,5,1,2,2,5,3,5,1,5,3,5,5,3,5,1,4,4,5,1,3,5,5,1,4,5
user2941,4,4,5,4,4,1,1,2,5,1,2,2,2,1,1,5,3,5,2,2,4,2,1,2,2,1,1,2,2,2,3,2,2,5,3
